time	syntax_penn_tok2	syntax_penn_lem2	lexical_tok2	lexical_lem2	cosine_semanticL	partner_direction	condition_info
1	0.0	0.0	0.0	0.0		B>A	phoneDialog1058-phoneDialog1017-condA
2	0.0	0.0	0.0	0.0		A>B	phoneDialog1058-phoneDialog1017-condA
3	0.0	0.0	0.0	0.0	0.31792144886225304	B>A	phoneDialog1058-phoneDialog1017-condA
4	0.0	0.0	0.0	0.0	0.4066509911535652	A>B	phoneDialog1058-phoneDialog1017-condA
5	0.0	0.0	0.0	0.0	0.24950744209173714	B>A	phoneDialog1058-phoneDialog1017-condA
6	0.0	0.0	0.0	0.0	0.2923329242156849	A>B	phoneDialog1058-phoneDialog1017-condA
7	0.0	0.0	0.0	0.0	0.2112313347628253	B>A	phoneDialog1058-phoneDialog1017-condA
8	0.0	0.0	0.0	0.0	0.14586158338331723	A>B	phoneDialog1058-phoneDialog1017-condA
9	0.0	0.0	0.0	0.0		B>A	phoneDialog1058-phoneDialog1017-condA
10	0.079555728417573	0.29019050004400465	0.0	0.0		A>B	phoneDialog1058-phoneDialog1017-condA
11	0.20541200750444025	0.2176428750330035	0.0	0.0	0.5797195211590891	B>A	phoneDialog1058-phoneDialog1017-condA
12	0.2507849312877596	0.22633936510629632	0.0	0.0	0.3676915610836464	A>B	phoneDialog1058-phoneDialog1017-condA
13	0.19425717247145283	0.18107149208503706	0.0	0.0		B>A	phoneDialog1058-phoneDialog1017-condA
14	0.10540925533894596	0.10101525445522107	0.0	0.0		A>B	phoneDialog1058-phoneDialog1017-condA
15	0.4627734781028383	0.46028730894916164	0.0186145197762485	0.05257497279245862	0.6805956337606378	B>A	phoneDialog1058-phoneDialog1017-condA
16	0.3325950526188697	0.45566118843288356	0.0	0.0	0.6448630113095621	A>B	phoneDialog1058-phoneDialog1017-condA
17	0.050251890762960605	0.1924500897298753	0.0	0.0	0.5718420933903692	B>A	phoneDialog1058-phoneDialog1017-condA
18	0.21320071635561041	0.4082482904638631	0.0	0.0	0.6546158625537697	A>B	phoneDialog1058-phoneDialog1017-condA
19	0.0	0.0	0.0	0.0	0.16935087520355974	B>A	phoneDialog1058-phoneDialog1017-condA
20	0.0	0.22360679774997896	0.0	0.0	0.14716817557448714	A>B	phoneDialog1058-phoneDialog1017-condA
21	0.0	0.0	0.0	0.0	0.42033057335988777	B>A	phoneDialog1058-phoneDialog1017-condA
22	0.3077287274483318	0.2849014411490949	0.0	0.0	0.4854207252543852	A>B	phoneDialog1058-phoneDialog1017-condA
23	0.0	0.0	0.0	0.0	0.1591517304690898	B>A	phoneDialog1058-phoneDialog1017-condA
24	0.12126781251816648	0.10660035817780521	0.0	0.0	0.30127409803843186	A>B	phoneDialog1058-phoneDialog1017-condA
25	0.280056016805602	0.21541010921383227	0.0	0.0	0.47554889225432684	B>A	phoneDialog1058-phoneDialog1017-condA
26	0.13245323570650439	0.2222222222222222	0.0	0.0	0.3080789464608885	A>B	phoneDialog1058-phoneDialog1017-condA
27	0.0	0.29012942659282975	0.0	0.0	0.20842638986764384	B>A	phoneDialog1058-phoneDialog1017-condA
28	0.2279211529192759	0.31544983675475174	0.0	0.0	0.30408147631190197	A>B	phoneDialog1058-phoneDialog1017-condA
